danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,duration_ms,time_signature,spotify_song,spotify_album,spotify_artist,billboard_name,billboard_artist,popularity,release_date,explicit,billboard_df_index
0.213,0.324,9,-13.823,0,0.0304,0.45,0.383,0.0728,0.557,181.746,audio_features,369DA2r2Ycpk8DjJGVIU9S,spotify:track:369DA2r2Ycpk8DjJGVIU9S,165214,3,Theme From A Summer Place,Summer Place,Percy Faith,theme from a summer place,percy faith,54,2013,False,0
0.429,0.283,0,-13.566,1,0.0401,0.934,0.0495,0.107,0.124,79.076,audio_features,3QHDivsy0bGD93ecNUb8NS,spotify:track:3QHDivsy0bGD93ecNUb8NS,142427,3,He'll Have to Go,My Greatest Songs,Jim Reeves,hell have to go,jim reeves,51,1992-08-27,False,1
0.499,0.701,7,-6.128,1,0.0355,0.472,0.0,0.263,0.88,120.24,audio_features,5iHsgyEEETNbm05RjwLmWJ,spotify:track:5iHsgyEEETNbm05RjwLmWJ,145747,4,Cathy's Clown - Single Version; 2006 Remaster,Definitive Pop: The Everly Brothers,The Everly Brothers,cathys clown,the everly brothers,25,2007-02-05,False,2
0.772,0.297,5,-14.679,0,0.053,0.854,7.59e-06,0.125,0.822,119.987,audio_features,0qF7qTPQd7lUurSOEBwm6e,spotify:track:0qF7qTPQd7lUurSOEBwm6e,158200,4,Running Bear,Essential Masters,Johnny Preston,running bear,johnny preston,25,2010-09-21,False,3
0.569,0.0638,0,-18.548,1,0.0458,0.936,0.0,0.122,0.282,101.521,audio_features,6kWR0zt2wWQL3Sjg5ojy9M,spotify:track:6kWR0zt2wWQL3Sjg5ojy9M,159893,4,Teen Angel,Pop Megahits Of The 1950's Vol. 1,Mark Dinning,teen angel,mark dinning,26,2005,False,4
0.558,0.223,10,-12.362,1,0.0299,0.868,0.000972,0.13,0.303,101.711,audio_features,4LJcNiq2pBb8OeqrGdBJQw,spotify:track:4LJcNiq2pBb8OeqrGdBJQw,161547,3,I'm Sorry,Brenda Lee,Brenda Lee,im sorry,brenda lee,55,1960-08-01,False,5
0.633,0.365,4,-14.94,1,0.0403,0.428,0.00378,0.569,0.743,126.266,audio_features,6yP3V5FXNNJU8Z441vxhCV,spotify:track:6yP3V5FXNNJU8Z441vxhCV,193907,4,It's Now or Never,Platinum - A Life In Music,Elvis Presley,its now or never,elvis presley,58,1997-07-15,False,6
0.522,0.601,10,-9.441,1,0.0468,0.67,0.0,0.192,0.807,148.087,audio_features,58Gjl4zlXu1nwcOh12zUHL,spotify:track:58Gjl4zlXu1nwcOh12zUHL,122122,4,Handy Man,Classic and Collectable - Jimmy Jones - Good Timin',Jimmy Jones,handy man,jimmy jones,18,2015-03-28,False,7
0.647,0.513,7,-12.372,1,0.0421,0.758,8.64e-06,0.108,0.955,131.641,audio_features,39zODpVtRvghMyfNjZ3BVK,spotify:track:39zODpVtRvghMyfNjZ3BVK,139640,4,Stuck on You,"Elvis' Golden Records, Vol. 3",Elvis Presley,stuck on you,elvis presley,53,1963-08-11,False,8
0.571,0.618,4,-5.682,1,0.0371,0.18,2.69e-06,0.178,0.852,156.892,audio_features,4YCnTYbq3oL1Lqpyxg33CU,spotify:track:4YCnTYbq3oL1Lqpyxg33CU,155040,4,The Twist,Dancin' Party: The Chubby Checker Collection (1960-1966),Chubby Checker,the twist,chubby checker,63,2020-06-19,False,9
